"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerSentence","citationCountPerSection","externalLinksCount","externalLinksPerSentence","externalLinksPerSection","imageCount","imagePerSentence","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","linsearWriteFormula","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","verbCountentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","adjectiveCount","adjectivesPerSentence","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","syllablesPerWord","charactersPerWord","qualityClass"
11344,2223,3784,95,5,2,18,2268.8,123.5,31237,17,1837.470588,4026.068899,0.4,1095,0.096527,60,0.631579,12,17,0.178947,3.4,2,0,0.4,23.4,59,4,0.189474,0.294737,0,0,0,0,70,0.421687,0.736842,0.031489,14.305196,12.940765,39.077522,13.62201,323.691984,1205.590648,80.596175,-0.3,267.246402,751,7.905263,0.337832,810,8.526316,0.364372,340,3.578947,0.152946,,0.074674,114,1.2,0.051282,55,0.578947,0.024741,8,0.084211,0.003599,160,1.684211,94,0.989474,0.042285,57,0.6,0.025641,37,0.389474,0.016644,64,0.673684,0.673684,3,0.031579,0.00135,307,3.231579,0.138102,28,0.294737,0.012596,1.702204,5.103014,7
7369,1415,2500,58,3,3,13,2456.333333,108.846154,31237,17,1837.470588,4006.952384,1,1095,0.148595,51,0.87931,17,11,0.189655,3.666667,2,0,0.666667,24.396552,60,5,0.189655,0.293103,0,0,0,0,44,0.431373,0.758621,0.031095,15.296891,13.608424,32.602535,14.772712,512.260387,1914.749411,103.140144,0.146552,423.621919,534,9.206897,0.377385,509,8.775862,0.359717,254,4.37931,0.179505,,0.072085,73,1.258621,0.05159,42,0.724138,0.029682,7,0.12069,0.004947,100,1.724138,54,0.931034,0.038163,41,0.706897,0.028975,29,0.5,0.020495,60,1.034483,1.034483,4,0.068966,0.002827,198,3.413793,0.139929,24,0.413793,0.016961,1.766784,5.207774,7
35651,6703,11922,266,8,17,75,4456.375,89.373333,31237,17,1837.470588,3967.782008,2.125,1095,0.030714,558,2.097744,69.75,293,1.101504,36.625,16,0,2,25.199248,92,6,0.165414,0.364662,0,0,0,0,165,0.416667,0.620301,0.024616,16.220528,14.299102,30.787645,15.225265,124.792514,457.196869,51.693128,-0.742481,100.811281,2125,7.988722,0.317022,2719,10.221805,0.405639,1219,4.582707,0.181859,,0.059078,228,0.857143,0.034015,60,0.225564,0.008951,13,0.048872,0.001939,540,2.030075,261,0.981203,0.038938,138,0.518797,0.020588,73,0.274436,0.010891,268,1.007519,1.007519,5,0.018797,0.000746,824,3.097744,0.12293,47,0.176692,0.007012,1.778607,5.318663,7
8328,1628,2737,62,5,0,12,1665.6,135.666667,31237,17,1837.470588,3914.394552,0,1095,0.131484,45,0.725806,9,0,0,0,4,0,0.8,26.258065,69,12,0.193548,0.354839,0,0,0,0,44,0.338462,0.709677,0.027027,15.792939,13.151744,37.953212,14.488852,490.232956,1837.634882,104.507308,0.120968,406.49761,683,11.016129,0.419533,582,9.387097,0.357494,299,4.822581,0.183661,,0.079853,131,2.112903,0.080467,53,0.854839,0.032555,13,0.209677,0.007985,97,1.564516,75,1.209677,0.046069,49,0.790323,0.030098,37,0.596774,0.022727,46,0.741935,0.741935,3,0.048387,0.001843,231,3.725806,0.141892,32,0.516129,0.019656,1.681204,5.115479,7
9917,2047,3249,84,4,2,15,2479.25,136.466667,31237,17,1837.470588,3888.355017,0.5,1095,0.110416,77,0.916667,19.25,1,0.011905,0.25,3,0,0.75,24.369048,59,9,0.154762,0.297619,0,0,0,0,87,0.520958,1.035714,0.042501,13.572829,11.471891,47.823231,12.642898,397.085186,1489.097919,90.885546,-0.244048,330.171658,653,7.77381,0.319003,644,7.666667,0.314607,262,3.119048,0.127992,,0.081583,123,1.464286,0.060088,42,0.5,0.020518,7,0.083333,0.00342,138,1.642857,79,0.940476,0.038593,56,0.666667,0.027357,37,0.440476,0.018075,47,0.559524,0.559524,4,0.047619,0.001954,272,3.238095,0.132877,31,0.369048,0.015144,1.587201,4.844651,7
24040,5028,7915,206,5,4,40,4808,125.7,31237,17,1837.470588,3902.203171,0.8,1095,0.045549,142,0.68932,28.4,0,0,0,10,0,2,24.407767,67,3,0.160194,0.26699,0,0,0,0,159,0.32716,0.771845,0.031623,13.293454,11.100875,48.885102,12.504407,172.969153,645.989361,60.138581,-0.706311,142.840043,1464,7.106796,0.291169,1508,7.320388,0.29992,649,3.150485,0.129077,,0.096659,255,1.237864,0.050716,356,1.728155,0.070804,18,0.087379,0.00358,278,1.349515,179,0.868932,0.035601,202,0.980583,0.040175,76,0.368932,0.015115,205,0.995146,0.995146,3,0.014563,0.000597,639,3.101942,0.127088,42,0.203883,0.008353,1.574185,4.781225,7
20016,4198,6847,188,6,8,41,3336,102.390244,31237,17,1837.470588,3875.465276,1.333333,1095,0.054706,100,0.531915,16.666667,60,0.319149,10,19,0,3.166667,22.329787,64,9,0.159574,0.287234,0,0,0,0,148,0.44713,0.787234,0.035255,12.192102,10.910167,46.186417,12.364591,211.104378,791.945574,63.819253,-0.656915,176.308915,1013,5.388298,0.241305,1318,7.010638,0.313959,438,2.329787,0.104335,,0.078847,142,0.755319,0.033826,82,0.43617,0.019533,11,0.058511,0.00262,381,2.026596,172,0.914894,0.040972,162,0.861702,0.03859,66,0.351064,0.015722,182,0.968085,0.968085,5,0.026596,0.001191,603,3.207447,0.14364,43,0.228723,0.010243,1.631015,4.767985,7
33121,6449,10854,276,6,12,56,5520.166667,115.160714,31237,17,1837.470588,3846.174593,2,1095,0.033061,191,0.692029,31.833333,9,0.032609,1.5,22,0,3.666667,23.365942,100,1,0.155797,0.344203,0,0,0,0,179,0.416279,0.648551,0.027756,14.442754,13.131909,40.7324,13.382727,148.065558,553.716574,54.554165,-0.751812,123.733399,1960,7.101449,0.303923,2396,8.681159,0.37153,916,3.318841,0.142038,,0.066677,264,0.956522,0.040937,89,0.322464,0.013801,11,0.039855,0.001706,610,2.210145,271,0.981884,0.042022,162,0.586957,0.02512,76,0.275362,0.011785,278,1.007246,1.007246,4,0.014493,0.00062,787,2.851449,0.122034,45,0.163043,0.006978,1.683052,5.135835,7
18574,3812,6180,122,4,2,24,4643.5,158.833333,31237,17,1837.470588,3870.787628,0.5,1095,0.058953,95,0.778689,23.75,22,0.180328,5.5,9,0,2.25,31.245902,121,5,0.196721,0.409836,0,0,0,0,109,0.396364,0.893443,0.028594,17.142463,11.903022,37.967209,15.726017,254.34516,955.305909,81.649344,-0.471311,212.581236,1190,9.754098,0.312172,1277,10.467213,0.334995,605,4.959016,0.158709,,0.072141,195,1.598361,0.051154,176,1.442623,0.04617,12,0.098361,0.003148,206,1.688525,118,0.967213,0.030955,93,0.762295,0.024397,56,0.459016,0.01469,139,1.139344,1.139344,8,0.065574,0.002099,578,4.737705,0.151626,43,0.352459,0.01128,1.621196,4.872508,7
19301,3884,6598,156,5,7,34,3860.2,114.235294,31237,17,1837.470588,3842.762279,1.4,1095,0.056733,118,0.75641,23.6,31,0.198718,6.2,9,0,1.8,24.897436,77,2,0.179487,0.326923,0,0,0,0,148,0.488449,0.948718,0.038105,14.424411,12.230968,37.848655,14.165417,254.984721,958.549469,73.679278,-0.586538,215.076804,1259,8.070513,0.32415,1311,8.403846,0.337539,650,4.166667,0.167353,,0.078012,183,1.173077,0.047116,169,1.083333,0.043512,15,0.096154,0.003862,229,1.467949,119,0.762821,0.030639,86,0.551282,0.022142,55,0.352564,0.014161,139,0.891026,0.891026,4,0.025641,0.00103,563,3.608974,0.144954,39,0.25,0.010041,1.698764,4.969361,7
11506,2420,3905,87,4,6,8,2876.5,302.5,31237,17,1837.470588,3808.842645,1.5,1095,0.095168,86,0.988506,21.5,7,0.08046,1.75,4,0,1,27.816092,114,6,0.183908,0.37931,0,0,0,0,72,0.35122,0.827586,0.029752,14.871955,11.092595,42.08803,14.299185,411.258668,1551.800216,98.422926,-0.212644,347.691802,727,8.356322,0.300413,774,8.896552,0.319835,310,3.563218,0.128099,,0.084711,148,1.701149,0.061157,69,0.793103,0.028512,10,0.114943,0.004132,178,2.045977,76,0.873563,0.031405,62,0.712644,0.02562,33,0.37931,0.013636,64,0.735632,0.735632,5,0.057471,0.002066,325,3.735632,0.134298,36,0.413793,0.014876,1.613636,4.754545,7
