"ng ","he "," th"," of","ed ","in "," an","the","on ","ing","of ","nd ","and"," in","er ","s a","as "," a ","is ","qualityClass"
30,58,47,11,29,12,13,48,12,32,17,22,20,14,13,5,12,14,6,6
29,75,76,46,52,36,33,74,38,34,42,36,42,24,25,11,19,16,12,6
59,184,159,76,109,49,79,119,53,73,48,49,64,65,111,41,58,57,29,6
73,161,181,62,88,60,72,166,47,62,53,64,76,65,41,44,52,48,34,6
7,28,45,15,25,10,7,37,6,16,11,16,16,20,5,4,15,9,2,6
16,68,79,32,33,21,18,71,8,15,28,21,35,16,23,3,15,9,3,6
19,63,92,32,40,11,11,66,14,23,21,17,29,23,11,6,4,10,9,6
57,91,105,34,69,57,38,96,52,71,33,55,61,50,62,18,35,12,15,6
31,76,111,50,55,24,39,85,29,37,64,31,31,28,28,18,33,21,26,6
52,133,127,47,90,50,69,117,34,52,37,61,46,63,29,38,28,22,17,6
2,9,9,5,3,1,9,15,0,4,15,4,7,5,4,4,4,3,1,6
39,120,115,50,94,37,52,117,22,49,46,64,60,44,32,26,20,19,5,6
10,38,35,13,22,10,15,41,21,11,21,18,11,13,9,8,4,14,9,6
21,89,79,56,33,18,46,80,24,18,52,31,30,34,25,19,16,12,9,6
13,73,48,22,16,7,21,51,10,13,23,13,15,14,5,13,19,15,5,6
49,114,129,62,79,36,57,127,30,44,75,53,54,46,46,22,24,23,29,6
18,38,38,12,49,9,17,45,21,20,15,18,17,15,9,5,15,10,4,6
104,312,337,155,198,112,142,301,105,144,126,148,177,84,82,46,83,114,64,6
53,121,157,29,80,23,29,144,39,65,35,49,46,30,36,11,20,14,25,6
5,39,27,15,35,10,13,40,8,13,16,20,19,15,10,8,7,3,0,6
50,102,138,45,77,17,51,139,39,40,38,49,37,22,30,12,22,22,13,6
112,206,257,144,221,102,159,240,72,116,134,151,153,117,106,61,37,55,18,6
28,116,91,41,60,39,49,98,31,18,46,51,41,44,44,21,34,32,8,6
11,53,44,19,22,12,16,39,13,5,20,14,6,19,13,10,10,11,7,6
32,106,105,37,53,22,36,116,32,34,50,38,48,31,31,20,29,22,13,6
77,378,414,204,180,116,150,361,68,89,191,136,149,129,90,88,111,99,100,6
32,79,95,50,48,21,23,107,29,46,55,23,44,19,39,17,21,17,5,6
13,57,55,16,65,8,21,51,18,21,18,23,21,11,17,5,17,14,1,6
38,129,158,67,71,23,50,153,37,49,61,46,42,33,37,22,30,22,3,6
52,314,307,119,110,90,145,288,66,49,95,108,113,102,49,50,51,34,48,6
6,15,24,13,8,7,8,13,9,11,9,10,4,5,3,3,9,5,0,6
8,27,16,9,16,15,9,21,16,4,10,9,7,8,11,2,7,4,8,6
120,267,283,106,162,78,138,248,152,166,109,111,121,126,93,66,88,96,47,6
18,66,59,33,38,13,14,65,27,18,29,16,11,28,14,5,12,18,3,6
108,407,407,140,191,100,118,366,71,110,140,119,113,122,59,61,88,64,50,6
16,87,81,27,33,14,14,77,17,9,31,24,22,20,14,10,11,17,6,6
36,95,115,38,73,54,52,92,30,35,44,59,46,70,28,38,38,26,34,6
48,115,88,38,111,46,53,110,48,51,40,52,59,44,59,37,52,43,58,6
54,216,244,76,94,46,58,209,41,53,66,65,62,51,48,20,27,16,13,6
35,101,88,25,40,22,17,65,13,33,23,29,31,30,35,12,21,26,18,6
3,25,17,12,7,9,11,16,13,9,7,7,13,6,6,8,8,12,9,6
18,40,40,15,25,14,18,49,17,14,19,26,30,19,13,13,17,8,1,6
20,41,59,26,52,26,24,34,13,29,23,24,29,32,15,11,21,14,4,6
17,39,55,22,32,19,22,40,15,21,18,26,28,24,9,10,14,14,13,6
20,109,103,39,63,22,37,90,24,23,23,34,40,27,10,11,32,11,11,6
42,115,142,59,84,54,69,106,63,65,50,66,67,69,35,26,46,31,18,6
37,163,191,73,91,41,48,166,34,43,59,46,54,42,28,17,30,19,10,6
2,23,11,5,4,3,10,17,6,7,6,9,15,6,1,7,0,8,3,6
