"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
24,31,15,10,8,18,7,8,8,5
115,169,86,45,29,116,73,20,41,5
49,60,16,31,18,33,12,19,30,5
33,31,9,23,13,26,12,4,17,5
64,67,13,27,27,73,16,22,33,5
60,65,39,68,33,72,30,35,32,5
129,150,58,64,60,134,40,59,46,5
285,261,167,152,146,285,191,165,149,5
83,75,23,44,33,70,22,34,26,5
127,123,33,77,47,112,38,51,30,5
284,288,142,136,140,258,129,122,117,5
17,16,4,13,8,20,6,9,9,5
98,81,52,57,48,81,38,45,40,5
20,28,8,11,7,14,9,6,9,5
16,30,8,27,11,17,11,8,20,5
28,24,15,16,15,22,12,8,7,5
141,164,38,82,69,128,58,73,68,5
13,18,6,21,11,23,10,6,14,5
452,475,209,303,227,466,199,259,254,5
25,34,6,16,21,34,7,22,10,5
81,83,23,44,46,78,23,42,30,5
78,84,51,29,53,61,43,40,42,5
106,111,34,52,54,103,33,54,49,5
55,32,33,45,30,53,25,36,22,5
28,23,17,18,24,24,9,14,24,5
60,57,28,21,24,44,17,26,22,5
39,46,12,19,17,45,15,17,34,5
204,204,129,96,112,178,105,96,102,5
64,50,34,32,36,56,26,42,31,5
48,58,21,25,14,53,15,16,19,5
328,315,194,137,156,298,149,160,183,5
30,40,18,26,18,42,30,16,18,5
9,13,1,9,10,7,3,5,12,5
87,101,31,52,31,75,20,24,30,5
114,136,79,79,65,107,64,99,64,5
48,38,20,15,19,29,21,10,14,5
157,178,99,90,59,163,79,66,70,5
24,24,8,24,15,22,9,24,10,5
94,92,24,54,40,65,30,36,30,5
127,145,84,47,54,108,62,101,50,5
69,80,40,23,31,56,23,21,28,5
53,61,33,17,34,39,31,42,21,5
44,34,15,23,17,42,16,17,16,5
78,78,42,38,33,70,34,17,24,5
15,15,11,8,8,8,4,4,3,5
87,80,23,30,30,57,25,18,41,5
172,171,87,81,76,162,70,82,91,5
55,69,26,24,38,67,26,33,29,5
55,60,45,28,26,66,55,26,26,5
88,78,28,35,18,79,34,10,24,5
79,89,36,67,30,86,39,42,55,5
22,18,12,13,7,13,9,7,11,5
75,87,53,55,42,56,41,53,49,5
72,73,35,32,32,72,44,42,42,5
33,34,11,12,10,36,20,12,17,5
20,14,7,3,16,17,3,11,8,5
14,28,8,9,3,20,8,4,6,5
132,158,89,71,68,153,71,84,37,5
55,74,41,34,36,63,31,27,22,5
34,30,14,34,23,46,12,30,17,5
40,37,10,24,17,38,9,13,7,4
24,30,5,12,7,25,3,6,9,4
204,177,68,35,56,138,77,56,56,4
18,21,8,22,16,20,8,12,11,4
203,162,90,87,79,193,100,109,77,4
55,86,40,40,46,80,46,41,39,4
42,44,24,28,26,43,11,15,12,4
71,97,42,78,55,89,45,61,55,4
27,29,15,17,24,36,18,33,22,4
36,45,23,31,35,39,23,25,22,4
86,105,42,42,59,87,32,45,53,4
116,136,50,63,46,104,42,41,37,4
16,7,5,5,3,4,1,1,3,4
210,256,155,110,125,232,147,108,95,4
95,142,52,42,44,124,63,40,47,4
131,167,57,83,74,144,67,48,88,4
16,11,7,17,7,9,4,12,8,4
156,189,71,130,97,153,67,62,76,4
127,175,60,91,69,135,52,51,66,4
133,197,80,97,97,180,97,114,63,4
39,45,17,22,18,44,20,23,13,4
100,137,46,47,65,141,52,51,42,4
37,48,24,23,22,46,27,22,19,4
56,127,48,55,50,86,40,47,48,4
